time,value
0.1,43.2612
0.2,39.0745
0.3,43.5819
0.4,55.6976
0.5,56.9932
0.6,39.9482
0.7,68.9746
0.8,56.75
0.9,45.4404
1.0,49.7981
1.1,44.9738
1.2,45.4603
1.3,54.2127
1.4,48.2809
1.5,42.7907
1.6,45.2506
1.7,55.1726
1.8,60.4915
1.9,62.7045
2.0,36.6746
2.1,46.6962
2.2,29.1812
2.3,57.4931
2.4,53.3061
2.5,41.6078
2.6,51.9934
2.7,43.386
2.8,45.2819
2.9,48.5342
3.0,58.4583
3.1,55.1493
3.2,53.3628
3.3,28.6832
3.4,56.2348
3.5,45.0143
3.6,59.5652
3.7,42.8433
3.8,41.836
3.9,49.246
4.0,49.3131
4.1,35.6478
4.2,58.9792
4.3,60.1652
4.4,46.7439
4.5,44.4786
4.6,36.861
4.7,46.2568
4.8,55.666
4.9,49.7009
5.0,45.7274
5.1,47.3261
5.2,54.9719
5.3,59.0326
5.4,46.9498
5.5,62.6165
5.6,51.0365
5.7,41.2139
